time,building_id,kW
2018-01-24T06:00:00Z,1447,8.5
2018-01-24T06:15:00Z,1447,8.6015625
2018-01-24T06:30:00Z,1447,8.71875
2018-01-24T06:45:00Z,1447,8.8515625
2018-01-24T07:00:00Z,1447,9.0078125
2018-01-24T07:15:00Z,1447,9.1171875
2018-01-24T07:30:00Z,1447,9.234375
2018-01-24T07:45:00Z,1447,9.3046875
2018-01-24T08:00:00Z,1447,9.3671875
2018-01-24T08:15:00Z,1447,9.4140625
2018-01-24T08:30:00Z,1447,9.4609375
2018-01-24T08:45:00Z,1447,9.5
2018-01-24T09:00:00Z,1447,9.5390625
2018-01-24T09:15:00Z,1447,9.5625
2018-01-24T09:30:00Z,1447,7.78125
2018-01-24T09:45:00Z,1447,7.23828125
2018-01-24T10:00:00Z,1447,6.48828125
2018-01-24T10:15:00Z,1447,5.5625
2018-01-24T10:30:00Z,1447,4.58984375
2018-01-24T10:45:00Z,1447,3.787109375
2018-01-24T11:00:00Z,1447,3.3671875
2018-01-24T11:15:00Z,1447,3.2578125
2018-01-24T11:30:00Z,1447,3.3125
2018-01-24T11:45:00Z,1447,3.39453125
2018-01-24T12:00:00Z,1447,3.3203125
2018-01-24T12:15:00Z,1447,3.130859375
2018-01-24T12:30:00Z,1447,4.765625
2018-01-24T12:45:00Z,1447,4.75
2018-01-24T13:00:00Z,1447,4.7265625
2018-01-24T13:15:00Z,1447,4.66796875
2018-01-24T13:30:00Z,1447,4.6875
2018-01-24T13:45:00Z,1447,4.7265625
2018-01-24T14:00:00Z,1447,4.734375
2018-01-24T14:15:00Z,1447,4.734375
2018-01-24T14:30:00Z,1447,4.734375
2018-01-24T14:45:00Z,1447,4.734375
2018-01-24T15:00:00Z,1447,4.734375
2018-01-24T15:15:00Z,1447,4.734375
2018-01-24T15:30:00Z,1447,4.73828125
2018-01-24T15:45:00Z,1447,4.75390625
2018-01-24T16:00:00Z,1447,4.765625
2018-01-24T16:15:00Z,1447,4.7734375
2018-01-24T16:30:00Z,1447,4.78125
2018-01-24T16:45:00Z,1447,4.78515625
2018-01-24T17:00:00Z,1447,4.78515625
2018-01-24T17:15:00Z,1447,4.79296875
2018-01-24T17:30:00Z,1447,4.80078125
2018-01-24T17:45:00Z,1447,4.8125
2018-01-24T18:00:00Z,1447,4.8203125
2018-01-24T18:15:00Z,1447,4.8203125
2018-01-24T18:30:00Z,1447,4.8203125
2018-01-24T18:45:00Z,1447,4.8125
2018-01-24T19:00:00Z,1447,4.8046875
2018-01-24T19:15:00Z,1447,4.7890625
2018-01-24T19:30:00Z,1447,6.296875
2018-01-24T19:45:00Z,1447,6.28125
2018-01-24T20:00:00Z,1447,6.28125
2018-01-24T20:15:00Z,1447,6.28125
2018-01-24T20:30:00Z,1447,6.28125
2018-01-24T20:45:00Z,1447,6.28125
